date,Vietnam, Inflows_USD,time,level,trend,VNtime,VNlevel,VNtrend
1986,1,0.00004,1,0,0,1,0,0
1987,1,0.010363704,2,0,0,2,0,0
1988,1,0.00768,3,0,0,3,0,0
1989,1,0.00407,4,0,0,4,0,0
1990,1,0.18,5,0,0,5,0,0
1991,1,0.375190278,6,0,0,6,0,0
1992,1,0.473945856,7,0,0,7,0,0
1993,1,0.926303715,8,0,0,8,0,0
1994,1,1.944515936,9,0,0,9,0,0
1995,1,1.7804,10,0,0,10,0,0
1996,1,2.395,11,0,0,11,0,0
1997,1,2.22,12,0,0,12,0,0
1998,1,1.671,13,0,0,13,0,0
1999,1,1.412,14,0,0,14,0,0
2000,1,1.298,15,0,0,15,0,0
2001,1,1.3,16,0,0,16,0,0
2002,1,1.4,17,0,0,17,0,0
2003,1,1.45,18,0,0,18,0,0
2004,1,1.61,19,0,0,19,0,0
2005,1,1.954,20,0,0,20,0,0
2006,1,2.4,21,1,1,21,1,1
2007,1,6.7,22,1,2,22,1,2
2008,1,9.579,23,1,3,23,1,3
2009,1,7.6,24,1,4,24,1,4
2010,1,8,25,1,5,25,1,5
2011,1,7.43,26,1,6,26,1,6
2012,1,8.368,27,1,7,27,1,7
2013,1,8.9,28,1,8,28,1,8
2014,1,9.2,29,1,9,29,1,9
2015,1,11.8,30,1,10,30,1,10
2016,1,12.6,31,1,11,31,1,11
2017,1,14.1,32,1,12,32,1,12
2018,1,15.5,33,1,13,33,1,13
2019,1,16.12,34,1,14,34,1,14
1986,0,0.262504154,1,0,0,0,0,0
1987,0,0.351932497,2,0,0,0,0,0
1988,0,1.10537011,3,0,0,0,0,0
1989,0,1.775449345,4,0,0,0,0,0
1990,0,2.443549743,5,0,0,0,0,0
1991,0,2.013985971,6,0,0,0,0,0
1992,0,2.113021867,7,0,0,0,0,0
1993,0,1.804040985,8,0,0,0,0,0
1994,0,1.366440825,9,0,0,0,0,0
1995,0,2.067936429,10,0,0,0,0,0
1996,0,2.335837475,11,0,0,0,0,0
1997,0,3.894755071,12,0,0,0,0,0
1998,0,7.314804931,13,0,0,0,0,0
1999,0,6.102677671,14,0,0,0,0,0
2000,0,3.365987583,15,0,0,0,0,0
2001,0,5.067170388,16,0,0,0,0,0
2002,0,3.341612007,17,0,0,0,0,0
2003,0,5.23227034,18,0,0,0,0,0
2004,0,5.860255943,19,0,0,0,0,0
2005,0,8.215637195,20,0,0,0,0,0
2006,0,8.917470351,21,1,1,0,0,0
2007,0,8.633903441,22,1,2,0,0,0
2008,0,8.561557725,23,1,3,0,0,0
2009,0,6.411458545,24,1,4,0,0,0
2010,0,14.74667292,25,1,5,0,0,0
2011,0,2.473685996,26,1,6,0,0,0
2012,0,12.89903606,27,1,7,0,0,0
2013,0,15.93596066,28,1,8,0,0,0
2014,0,4.97545566,29,1,9,0,0,0
2015,0,8.927579182,30,1,10,0,0,0
2016,0,3.48618439,31,1,11,0,0,0
2017,0,8.28516982,32,1,12,0,0,0
2018,0,13.18632852,33,1,13,0,0,0
2019,0,4.790362175,34,1,14,0,0,0
